purchase_month,category_name,monthly_sales_amount,monthly_order_count,monthly_item_count,avg_item_price,items_per_order
2017-08,air_conditioning,4271.73,12,15,284.782,1.25
2017-08,art,244.7,4,4,61.175,1.0
2017-08,audio,1050.7,7,7,150.1,1.0
2017-08,auto,18922.61,128,161,117.531739,1.257812
2017-08,baby,19160.1,120,127,150.866929,1.058333
2017-08,bed_bath_table,56580.63,442,506,111.819427,1.144796
2017-08,books_general_interest,2275.0,27,27,84.259259,1.0
2017-08,books_imported,61.0,1,1,61.0,1.0
2017-08,books_technical,1196.38,9,9,132.931111,1.0
2017-08,cds_dvds_musicals,135.0,2,3,45.0,1.5
2017-08,christmas_supplies,58.9,1,1,58.9,1.0
2017-08,computers,32400.0,28,28,1157.142857,1.0
2017-08,computers_accessories,33826.47,290,341,99.197859,1.175862
2017-08,consoles_games,8054.75,79,84,95.889881,1.063291
2017-08,construction_tools_construction,1180.0,6,7,168.571429,1.166667
2017-08,construction_tools_lights,589.0,2,2,294.5,1.0
2017-08,construction_tools_safety,8.9,1,1,8.9,1.0
2017-08,cool_stuff,38264.51,235,256,149.470742,1.089362
2017-08,costruction_tools_garden,1286.19,7,10,128.619,1.428571
2017-08,drinks,119.9,2,2,59.95,1.0
2017-08,dvds_blu_ray,113.4,6,6,18.9,1.0
2017-08,electronics,2854.15,52,56,50.966964,1.076923
2017-08,fashio_female_clothing,188.7,4,4,47.175,1.0
2017-08,fashion_bags_accessories,6438.89,85,95,67.777789,1.117647
2017-08,fashion_male_clothing,1175.06,12,14,83.932857,1.166667
2017-08,fashion_shoes,1491.69,18,22,67.804091,1.222222
2017-08,fashion_sport,265.8,2,2,132.9,1.0
2017-08,fashion_underwear_beach,1111.0,13,13,85.461538,1.0
2017-08,fixed_telephony,3343.54,14,20,167.177,1.428571
2017-08,food,364.5,8,8,45.5625,1.0
2017-08,food_drink,494.81,12,15,32.987333,1.25
2017-08,furniture_bedroom,618.0,3,3,206.0,1.0
2017-08,furniture_decor,33595.89,323,426,78.863592,1.318885
2017-08,furniture_living_room,2478.07,21,23,107.742174,1.095238
2017-08,furniture_mattress_and_upholstery,509.39,2,2,254.695,1.0
2017-08,garden_tools,22920.93,194,233,98.37309,1.201031
2017-08,health_beauty,49030.23,338,352,139.290426,1.04142
2017-08,home_appliances,3921.35,42,42,93.365476,1.0
2017-08,home_appliances_2,3686.55,15,15,245.77,1.0
2017-08,home_comfort_2,38.7,2,3,12.9,1.5
2017-08,home_confort,4000.19,24,28,142.863929,1.166667
2017-08,home_construction,124.8,1,1,124.8,1.0
2017-08,housewares,23427.84,245,280,83.670857,1.142857
2017-08,industry_commerce_and_business,956.9,3,3,318.966667,1.0
2017-08,kitchen_dining_laundry_garden_furniture,1006.2,7,7,143.742857,1.0
2017-08,la_cuisine,313.0,2,2,156.5,1.0
2017-08,luggage_accessories,6533.1,57,62,105.372581,1.087719
2017-08,market_place,1937.39,22,23,84.234348,1.045455
2017-08,musical_instruments,7089.55,23,23,308.241304,1.0
2017-08,office_furniture,9877.36,46,58,170.29931,1.26087
