"purchase_month","category_name","monthly_sales_amount","sales_mom_growth","monthly_order_count","order_mom_growth","monthly_item_count","item_mom_growth"
"2017-03",dvds_blu_ray,453.7,29.449664429530202,3,2.0,4,3.0
"2017-03",electronics,3986.0,2.270295770603438,32,1.2857142857142858,37,0.9473684210526315
"2017-03",fashio_female_clothing,19.9,-0.9453146468810113,1,-0.6666666666666666,1,-0.6666666666666666
"2017-03",fashion_bags_accessories,4786.36,1.2053807981348286,60,0.875,66,0.8333333333333334
"2017-03",fashion_male_clothing,580.8,0.06383368440333347,7,0.16666666666666666,9,0.5
"2017-03",fashion_shoes,1515.0,13.152265296590379,13,5.5,14,3.6666666666666665
"2017-03",fashion_sport,39.9,,1,,1,
"2017-03",fashion_underwear_beach,394.14,-0.007129002191601483,6,0.0,6,-0.25
"2017-03",fixed_telephony,1333.45,0.7563189020454935,14,-0.2222222222222222,20,-0.09090909090909091
"2017-03",food,2412.66,2.5651737029539103,19,1.375,21,1.625
"2017-03",food_drink,85.8,,4,,4,
"2017-03",furniture_decor,22133.47,0.11076054341951216,253,0.18779342723004694,315,0.22568093385214008
"2017-03",furniture_living_room,3324.0,-0.025117021151793116,17,0.4166666666666667,24,0.14285714285714285
"2017-03",garden_tools,23508.76,1.0033678125069236,117,0.95,146,1.1159420289855073
"2017-03",health_beauty,25652.45,0.16285326510703588,190,0.32867132867132864,208,0.35064935064935066
"2017-03",home_appliances,313.3,-0.5771359157781076,9,0.2857142857142857,10,0.42857142857142855
"2017-03",home_appliances_2,500.9,30.32582864290181,2,1.0,2,1.0
"2017-03",home_comfort_2,342.88,,3,,3,
"2017-03",home_confort,2123.4,4.120821878165244,12,3.0,13,3.3333333333333335
"2017-03",home_construction,591.96,-0.1489936745255894,5,0.6666666666666666,10,1.5
"2017-03",housewares,12906.96,0.14268007868731697,170,1.7868852459016393,196,1.8405797101449275
"2017-03",industry_commerce_and_business,238.0,1.0,2,1.0,2,1.0
"2017-03",kitchen_dining_laundry_garden_furniture,113.98,-0.18527519656897784,3,0.5,3,0.5
"2017-03",luggage_accessories,5924.01,2.5704229172065887,35,0.8421052631578947,38,0.9
"2017-03",market_place,1808.59,0.1488800802937327,17,0.0,17,-0.15
"2017-03",music,27.99,,1,,1,
"2017-03",musical_instruments,1667.33,-0.2493832384931212,9,0.125,10,0.1111111111111111
"2017-03",office_furniture,10793.85,-0.004806389095314504,58,0.11538461538461539,74,0.1935483870967742
"2017-03",perfumery,19608.14,1.4387081207604613,103,1.1914893617021276,105,1.1428571428571428
"2017-03",pet_shop,8240.06,1.2985659173135984,40,0.1111111111111111,44,0.1282051282051282
"2017-03",signaling_and_security,75.0,,1,,1,
"2017-03",small_appliances,11171.06,0.5405001392799913,31,0.24,31,0.10714285714285714
"2017-03",sports_leisure,25472.89,0.6297455275054734,164,0.22388059701492538,190,0.2751677852348993
"2017-03",stationery,5902.62,1.5209789015119157,56,1.9473684210526316,56,1.9473684210526316
"2017-03",tablets_printing_image,495.0,-0.375,5,-0.375,5,-0.375
"2017-03",telephony,7877.12,0.17685938559822148,153,0.6105263157894737,165,0.5566037735849056
"2017-03",toys,12339.57,0.3192547340871379,99,0.6229508196721312,102,0.5454545454545454
"2017-03",unknown,6457.17,-0.2422149227037323,54,0.08,60,0.07142857142857142
"2017-03",watches_gifts,24892.38,1.2645102657383882,74,1.3125,79,1.393939393939394
"2017-04",air_conditioning,2492.23,-0.39270336589656935,13,-0.1875,15,-0.11764705882352941
"2017-04",art,119.9,-0.3132875143184421,1,-0.75,1,-0.75
"2017-04",audio,942.2,-0.16969958670038857,9,-0.3076923076923077,11,-0.21428571428571427
"2017-04",auto,15149.32,0.14136969003829594,77,0.14925373134328357,84,0.07692307692307693
"2017-04",baby,3930.55,0.09416582226329795,47,0.14634146341463414,50,0.19047619047619047
"2017-04",bed_bath_table,24092.89,-0.04088890056616201,231,-0.03347280334728033,271,-0.02867383512544803
"2017-04",books_general_interest,923.38,-0.6355980362752371,12,-0.3684210526315789,12,-0.5
"2017-04",books_imported,19.99,,1,,1,
"2017-04",books_technical,75.0,0.0,1,-0.5,1,-0.5
"2017-04",christmas_supplies,69.0,,1,,1,
"2017-04",cine_photo,118.0,,2,,2,
"2017-04",computers_accessories,18353.46,-0.34635881875293817,116,-0.2108843537414966,132,-0.22807017543859648
"2017-04",consoles_games,3772.88,-0.6163448592846887,15,-0.6666666666666666,17,-0.6382978723404256
"2017-04",cool_stuff,20902.39,0.015500893198525099,112,-0.034482758620689655,114,-0.03389830508474576
"2017-04",costruction_tools_garden,1490.21,,7,,8,
"2017-04",costruction_tools_tools,729.0,,1,,1,
"2017-04",dvds_blu_ray,1434.9,2.162662552347366,2,-0.3333333333333333,2,-0.5
"2017-04",electronics,4822.24,0.2097942799799297,47,0.46875,48,0.2972972972972973
"2017-04",fashio_female_clothing,64.9,2.2613065326633173,1,0.0,1,0.0
"2017-04",fashion_bags_accessories,3095.9,-0.3531827944408694,44,-0.26666666666666666,48,-0.2727272727272727
"2017-04",fashion_male_clothing,366.89,-0.3683023415977961,5,-0.2857142857142857,5,-0.4444444444444444
"2017-04",fashion_shoes,1526.5,0.007590759075907591,20,0.5384615384615384,23,0.6428571428571429
"2017-04",fashion_sport,189.78,3.756390977443609,4,3.0,4,3.0
"2017-04",fashion_underwear_beach,92.89,-0.7643223220175572,3,-0.5,3,-0.5
"2017-04",fixed_telephony,505.83,-0.6206606921894335,6,-0.5714285714285714,6,-0.7
"2017-04",food,491.3,-0.7963658368771398,8,-0.5789473684210527,8,-0.6190476190476191
"2017-04",food_drink,47.9,-0.4417249417249417,2,-0.5,3,-0.25
"2017-04",furniture_bedroom,628.98,,3,,3,
"2017-04",furniture_decor,19211.23,-0.132028100428898,162,-0.35968379446640314,191,-0.39365079365079364
"2017-04",furniture_living_room,2073.34,-0.376251504211793,11,-0.35294117647058826,12,-0.5
"2017-04",furniture_mattress_and_upholstery,109.4,,1,,1,
"2017-04",garden_tools,17648.93,-0.24926155186407103,93,-0.20512820512820512,108,-0.2602739726027397
"2017-04",health_beauty,22156.34,-0.13628756707448997,168,-0.11578947368421053,180,-0.1346153846153846
"2017-04",home_appliances,499.4,0.5939993616342163,9,0.0,10,0.0
"2017-04",home_appliances_2,799.8,0.5967258933918945,2,0.0,2,0.0
"2017-04",home_comfort_2,12.9,-0.9623775081661223,1,-0.6666666666666666,1,-0.6666666666666666
"2017-04",home_confort,2411.1,0.13549025148346983,16,0.3333333333333333,17,0.3076923076923077
"2017-04",home_construction,1602.69,1.7074295560510844,5,0.0,5,-0.5
"2017-04",housewares,12472.18,-0.0336857013580269,134,-0.21176470588235294,169,-0.1377551020408163
"2017-04",kitchen_dining_laundry_garden_furniture,1033.4,8.06650289524478,8,1.6666666666666667,9,2.0
"2017-04",la_cuisine,24.0,,1,,1,
"2017-04",luggage_accessories,7090.3,0.1968750896774313,46,0.3142857142857143,48,0.2631578947368421
"2017-04",market_place,4045.28,1.2367037305304136,19,0.11764705882352941,19,0.11764705882352941
"2017-04",music,59.8,1.1364773133261878,2,1.0,2,1.0
"2017-04",musical_instruments,3818.43,1.2901465216843697,16,0.7777777777777778,16,0.6
